Date,New Dwelling Price,All Dwellings price,First Time Buyers Price
1992-05-01,77000,62000,47000
1992-08-01,70000,64000,49000
1992-11-01,70000,59000,45000
1993-02-01,73000,60000,46000
1993-05-01,73000,62000,49000
1993-08-01,73000,64000,48000
1993-11-01,73000,63000,47000
1994-02-01,73000,62000,46000
1994-05-01,74000,65000,49000
1994-08-01,74000,66000,49000
1994-11-01,77000,66000,49000
1995-02-01,75000,62000,47000
1995-05-01,78000,65000,47000
1995-08-01,81000,68000,46000
1995-11-01,82000,67000,46000
1996-02-01,81000,66000,46000
1996-05-01,83000,69000,49000
1996-08-01,85000,73000,50000
1996-11-01,89000,73000,49000
1997-02-01,92000,73000,49000
1997-05-01,92000,76000,50000
1997-08-01,93000,78000,55000
1997-11-01,93000,76000,55000
1998-02-01,94000,78000,54000
1998-05-01,97000,81000,60000
1998-08-01,94000,85000,66000
1998-11-01,102000,83000,64000
1999-02-01,106000,84000,65000
1999-05-01,112000,90000,72000
1999-08-01,113000,97000,74000
1999-11-01,116000,97000,74000
2000-02-01,121000,97000,75000
2000-05-01,121000,102000,77000
2000-08-01,122000,102000,75000
2000-11-01,126000,104000,76000
2001-02-01,131000,107000,79000
2001-05-01,128000,112000,83000
2001-08-01,137000,117000,88000
2001-11-01,134000,113000,88000
2002-02-01,145000,113000,91000
2002-05-01,153000,126000,100000
2002-08-01,163000,136000,111000
2002-11-01,164000,134000,111000
2003-02-01,161000,134000,105000
2003-05-01,179000,142000,109000
2003-08-01,196000,162000,114000
2003-11-01,198000,166000,119000
2004-02-01,204000,169000,122000
2004-05-01,208000,177000,130000
2004-08-01,215000,189000,137000
2004-11-01,205000,186000,138000
2005-02-01,211000,185000,139000
2005-05-01,210000,190000,145000
2005-08-01,213000,199000,146000
2005-11-01,213000,189000,136000
2006-02-01,222000,193000,138000
2006-05-01,222000,199000,144000
2006-08-01,221000,214000,152000
2006-11-01,222000,212000,151000
2007-02-01,221000,217000,154000
2007-05-01,226000,219000,159000
2007-08-01,224000,232000,164000
2007-11-01,227000,226000,161000
2008-02-01,227000,227000,161000
2008-05-01,232000,228000,166000
2008-08-01,223000,233000,168000
2008-11-01,203000,222000,158000
2009-02-01,193000,217000,155000
2009-05-01,192000,216000,158000
2009-08-01,203000,236000,172000
2009-11-01,208000,235000,177000
2010-02-01,210000,253000,185000
2010-05-01,214000,249000,186000
2010-08-01,214000,258000,187000
2010-11-01,218000,244000,177000
2011-02-01,208000,244000,177000
2011-05-01,221000,240000,179000
2011-08-01,231000,254000,186000
2011-11-01,234000,242000,177000
2012-02-01,227000,239000,179000
2012-05-01,231000,244000,180000
2012-08-01,232000,254000,186000
2012-11-01,232000,247000,182000
2013-02-01,229000,243000,180000
2013-05-01,242000,245000,189000
2013-08-01,243000,260000,196000
2013-11-01,245000,255000,193000
2014-02-01,263000,260000,196000
2014-05-01,279000,264000,201000
2014-08-01,282000,278000,209000
2014-11-01,269000,266000,202000
2015-02-01,267000,270000,202000
2015-05-01,277000,267000,201000
2015-08-01,282000,288000,208000
2015-11-01,279000,281000,205000
2016-02-01,289000,293000,211000
2016-05-01,283000,268000,207000
2016-08-01,287000,286000,214000
2016-11-01,301000,283000,213000
2017-02-01,291000,275000,207000
2017-05-01,305000,279000,212000
2017-08-01,303000,288000,215000
2017-11-01,306000,279000,211000
2018-02-01,304000,281000,213000
2018-05-01,309000,279000,217000
2018-08-01,311000,290000,221000
2018-11-01,303000,281000,217000
2019-02-01,302000,276000,214000
2019-05-01,304000,276000,216000
2019-08-01,309000,288000,219000
2019-11-01,309000,289000,221000
2020-02-01,312000,291000,224000
2020-05-01,308000,281000,220000
2020-08-01,320000,316000,240000
2020-11-01,326000,326000,245000
2021-02-01,336000,345000,257000
2021-05-01,328000,343000,256000
2021-08-01,298000,295000,224000
2021-11-01,312000,311000,233000
2022-02-01,330000,330000,247000
2022-05-01,332000,335000,256000