name,code,avg,men,women
Scotland ,S92000003,29896,35033,25385
Aberdeen City,S12000033,28725,34488,24113
Aberdeenshire,S12000034,29650,36041,24412
Angus,S12000041,26419,31952,21988
Argyll and Bute,S12000035,23722,28154,20374
Clackmannanshire,S12000005,30459,37931,24442
Dumfries and Galloway,S12000006,25346,29534,22506
Dundee City,S12000042,26070,28663,23797
East Ayrshire,S12000008,27938,32579,23943
East Dunbartonshire,S12000045,37693,46259,30354
East Lothian,S12000010,30409,37559,x
East Renfrewshire,S12000011,42517,54568,31685
City of Edinburgh,S12000036,34627,40804,29013
Falkirk,S12000014,28066,30863,25579
Fife,S12000047,28873,33918,24182
Glasgow City,S12000049,29429,33322,25926
Highland,S12000017,27698,31502,24338
Inverclyde,S12000018,25884,27294,24798
Midlothian,S12000019,29349,33087,26419
Moray,S12000020,28147,38163,20818
Na h-Eileanan Siar,S12000013,29444,31819,26461
North Ayrshire,S12000021,29296,35408,25114
North Lanarkshire,S12000050,28517,33548,23484
Orkney Islands,S12000023,26663,33169,20231
Perth and Kinross,S12000048,30741,33828,28284
Renfrewshire,S12000038,30806,35458,26703
Scottish Borders,S12000026,26496,30868,22362
Shetland Islands,S12000027,32513,35211,30226
South Ayrshire,S12000028,29334,32344,26010
South Lanarkshire,S12000029,30699,36413,25779
Stirling,S12000030,38395,47317,29077
West Dunbartonshire,S12000039,28802,34589,24019
West Lothian,S12000040,30799,34106,27361